Tenure,MonthlyCharges,ContractType,PaymentMethod,CustomerSupportCalls,Churn
40,91.97,Two years,Electronic Check,7,No
3,149.54,Two years,Credit Card,1,Yes
69,90.12,One year,Electronic Check,10,Yes
51,65.47,One year,Direct Debit,5,No
42,50.27,Monthly,Electronic Check,0,Yes
7,101.19,Monthly,Bank Transfer,4,No
55,128.95,One year,Bank Transfer,2,No
36,94.29,One year,Direct Debit,1,No
39,38.37,One year,Bank Transfer,9,No
10,121.67,Monthly,Direct Debit,10,Yes
40,36.49,Monthly,Bank Transfer,6,Yes
2,65.81,One year,Direct Debit,2,No
18,143.21,Two years,Direct Debit,7,No
50,28.72,Two years,Direct Debit,5,No
4,73.88,One year,Credit Card,9,Yes
70,36.76,One year,Credit Card,0,Yes
51,46.04,One year,Bank Transfer,5,No
1,44.5,Monthly,Bank Transfer,6,No
54,48.97,Two years,Direct Debit,3,Yes
45,26.85,One year,Direct Debit,3,No
61,36.88,Monthly,Credit Card,5,No
15,88.73,Two years,Electronic Check,7,No
17,142.4,One year,Electronic Check,5,Yes
46,76.59,One year,Credit Card,9,No
29,139.46,One year,Credit Card,1,No
5,64.81,Monthly,Bank Transfer,10,No
28,116.97,One year,Bank Transfer,10,No
68,58.21,Monthly,Bank Transfer,4,No
12,112.14,Two years,Credit Card,8,No
1,88.48,One year,Bank Transfer,2,No
14,108.13,Two years,Credit Card,8,No
24,49.89,Monthly,Electronic Check,5,No
36,28.07,Monthly,Direct Debit,5,No
61,29.76,One year,Electronic Check,9,No
7,65.46,One year,Direct Debit,6,No
37,116.3,Two years,Electronic Check,9,No
71,62.91,One year,Credit Card,5,Yes
17,72.77,Monthly,Bank Transfer,8,No
24,149.67,Two years,Credit Card,6,Yes
31,56.75,One year,Bank Transfer,10,Yes
38,24.09,Monthly,Electronic Check,1,No
7,144.34,Two years,Electronic Check,8,Yes
8,37.86,Monthly,Credit Card,8,No
62,48.94,Monthly,Bank Transfer,0,No
26,80.78,Monthly,Bank Transfer,8,No
58,131.24,One year,Bank Transfer,5,Yes
52,129.15,Monthly,Electronic Check,10,Yes
28,70.26,One year,Electronic Check,9,No
68,94.93,One year,Electronic Check,10,No
30,137.97,Monthly,Direct Debit,3,No
4,139.17,One year,Electronic Check,0,No
15,46.45,One year,Credit Card,4,No
66,121.33,One year,Credit Card,8,No
50,21.41,Two years,Electronic Check,6,No
55,74.92,Monthly,Electronic Check,9,No
14,108.77,One year,Credit Card,9,No
48,108.32,One year,Direct Debit,3,Yes
18,119.29,One year,Bank Transfer,8,No
31,121.79,Two years,Credit Card,2,No
24,57.51,One year,Bank Transfer,6,No
19,52.85,Two years,Direct Debit,6,No
30,137.43,Monthly,Direct Debit,10,Yes
4,114.38,Monthly,Direct Debit,10,No
61,90.34,One year,Credit Card,5,No
25,51.63,Two years,Electronic Check,10,No
56,127.52,Two years,Direct Debit,1,Yes
39,50.35,Monthly,Credit Card,8,No
2,127.13,Monthly,Direct Debit,8,No
64,125.44,Monthly,Bank Transfer,10,No
34,39.5,Two years,Bank Transfer,3,Yes
24,21.74,Two years,Credit Card,2,No
26,144.84,One year,Bank Transfer,3,Yes
59,44.48,Monthly,Credit Card,7,No
39,70.73,Monthly,Credit Card,2,Yes
54,23.64,Monthly,Bank Transfer,2,No
20,32.29,Monthly,Direct Debit,2,Yes
4,139.99,Monthly,Credit Card,1,Yes
39,82.02,Two years,Direct Debit,4,No
15,129.05,Monthly,Electronic Check,0,No
39,144.77,Two years,Electronic Check,6,No
67,45.95,Two years,Bank Transfer,5,No
30,63.92,One year,Electronic Check,3,No
49,60.4,One year,Electronic Check,5,No
43,39.66,Two years,Bank Transfer,6,No
51,110.29,One year,Electronic Check,9,No
68,32.29,Monthly,Direct Debit,1,No
51,85.48,Monthly,Electronic Check,2,No
33,104.99,Monthly,Electronic Check,6,No
43,21.31,One year,Electronic Check,8,No
52,77.27,Two years,Credit Card,8,No
23,73.93,Two years,Direct Debit,9,No
33,34.24,Monthly,Credit Card,6,No
57,80.24,One year,Direct Debit,0,No
50,123.0,Two years,Electronic Check,4,Yes
54,31.65,Monthly,Direct Debit,1,No
37,48.87,Two years,Direct Debit,9,No
6,130.17,Monthly,Electronic Check,0,No
25,115.42,Monthly,Credit Card,9,No
43,39.93,Monthly,Bank Transfer,7,No
31,70.49,Two years,Credit Card,6,Yes
68,37.36,Two years,Bank Transfer,9,Yes
10,49.86,Monthly,Electronic Check,0,Yes
70,102.79,Monthly,Electronic Check,3,No
58,57.45,Monthly,Electronic Check,0,Yes
69,49.82,One year,Electronic Check,0,No
5,61.38,Two years,Direct Debit,3,No
47,98.83,One year,Bank Transfer,4,No
26,91.57,One year,Bank Transfer,7,No
47,31.29,Two years,Direct Debit,10,No
2,124.64,Monthly,Credit Card,7,Yes
43,54.49,One year,Credit Card,5,No
36,35.88,Monthly,Bank Transfer,5,No
49,75.36,Two years,Electronic Check,0,No
64,109.56,Monthly,Credit Card,4,No
46,68.41,Monthly,Credit Card,4,No
13,104.64,Monthly,Credit Card,3,No
65,60.6,Monthly,Direct Debit,10,No
31,148.03,Monthly,Credit Card,6,No
38,85.1,Two years,Credit Card,6,No
57,120.7,One year,Bank Transfer,1,No
65,36.36,One year,Electronic Check,1,No
6,79.14,Monthly,Electronic Check,5,No
12,24.78,Two years,Direct Debit,7,No
58,140.31,Monthly,Bank Transfer,3,No
60,62.85,One year,Electronic Check,10,No
46,129.2,Monthly,Bank Transfer,2,No
57,123.61,Monthly,Direct Debit,10,No
6,89.59,Monthly,Credit Card,5,No
59,103.85,Monthly,Electronic Check,2,No
26,85.83,Monthly,Credit Card,2,Yes
41,39.65,Monthly,Direct Debit,10,No
14,134.27,One year,Bank Transfer,7,No
54,79.67,Two years,Direct Debit,0,No
31,84.85,Monthly,Direct Debit,5,No
20,99.22,Two years,Credit Card,5,No
62,68.1,Monthly,Credit Card,10,No
38,84.16,Two years,Bank Transfer,5,No
69,46.16,Two years,Credit Card,10,Yes
46,43.54,Two years,Electronic Check,6,No
42,25.28,One year,Bank Transfer,5,No
65,76.89,Monthly,Electronic Check,2,No
72,75.53,One year,Direct Debit,6,No
26,54.65,One year,Bank Transfer,2,Yes
50,134.22,Two years,Direct Debit,0,No
16,121.3,Monthly,Direct Debit,4,Yes
61,52.08,Monthly,Direct Debit,3,No
1,90.02,Two years,Direct Debit,5,No
16,88.34,Two years,Credit Card,0,Yes
70,83.34,Monthly,Electronic Check,0,No
6,92.66,Monthly,Direct Debit,9,No
60,112.72,One year,Bank Transfer,1,No
59,52.54,Monthly,Direct Debit,8,No
58,50.59,Two years,Electronic Check,2,No
47,110.48,Monthly,Bank Transfer,6,No
27,66.43,Two years,Bank Transfer,3,No
31,42.76,Monthly,Direct Debit,2,Yes
56,126.92,Two years,Credit Card,4,Yes
6,73.38,One year,Direct Debit,4,No
53,100.65,Two years,Direct Debit,10,No
10,26.65,One year,Direct Debit,5,No
58,34.58,Two years,Direct Debit,3,No
36,73.74,One year,Credit Card,9,Yes
52,47.49,One year,Bank Transfer,8,No
56,94.23,One year,Electronic Check,9,No
54,128.33,Two years,Direct Debit,10,Yes
15,107.7,Monthly,Credit Card,5,Yes
25,74.97,Two years,Electronic Check,10,No
52,118.86,Two years,Direct Debit,5,No
57,61.25,Two years,Direct Debit,4,No
34,145.22,Monthly,Electronic Check,6,No
71,116.82,One year,Credit Card,8,Yes
25,111.95,Two years,Bank Transfer,5,No
15,110.69,Monthly,Credit Card,2,Yes
5,67.83,Monthly,Credit Card,10,No
7,46.47,Two years,Electronic Check,3,No
31,118.35,Two years,Direct Debit,9,No
36,115.91,Two years,Bank Transfer,6,Yes
59,101.61,Monthly,Bank Transfer,3,No
65,103.05,Monthly,Direct Debit,6,No
63,120.11,Two years,Credit Card,8,Yes
40,41.34,Two years,Direct Debit,1,No
5,64.4,Two years,Electronic Check,0,Yes
46,135.17,Monthly,Electronic Check,6,No
19,126.25,Two years,Credit Card,3,No
2,124.99,Monthly,Credit Card,6,No
41,71.06,Monthly,Electronic Check,5,No
35,138.32,Two years,Bank Transfer,3,No
41,70.82,Monthly,Direct Debit,10,Yes
44,142.93,Monthly,Electronic Check,10,No
9,59.18,One year,Bank Transfer,4,No
61,54.09,Monthly,Direct Debit,6,Yes
45,83.78,Two years,Direct Debit,1,No
8,115.37,One year,Bank Transfer,6,No
13,96.79,One year,Credit Card,6,No
55,133.83,Two years,Electronic Check,10,No
63,114.68,Monthly,Direct Debit,0,Yes
46,106.66,Monthly,Credit Card,8,No
40,120.2,Monthly,Credit Card,1,No
72,139.44,Monthly,Direct Debit,6,No
60,82.0,Two years,Credit Card,7,Yes
47,121.9,Two years,Credit Card,3,Yes
24,72.84,Monthly,Credit Card,1,Yes
1,100.79,One year,Electronic Check,1,No
56,135.82,Monthly,Direct Debit,6,No
36,30.65,Two years,Direct Debit,6,No
32,39.23,Monthly,Bank Transfer,5,No
35,40.4,One year,Electronic Check,10,No
63,59.61,Two years,Direct Debit,3,No
67,39.13,Monthly,Direct Debit,10,No
50,40.83,Two years,Electronic Check,6,No
50,100.26,Monthly,Bank Transfer,9,Yes
68,24.22,Two years,Direct Debit,7,No
58,149.07,Two years,Bank Transfer,10,No
25,67.98,Monthly,Credit Card,9,Yes
31,78.15,One year,Direct Debit,1,Yes
20,116.77,One year,Electronic Check,8,No
68,75.01,One year,Direct Debit,7,No
50,51.09,Two years,Credit Card,6,No
19,84.15,Two years,Direct Debit,8,No
1,47.65,One year,Credit Card,4,No
44,146.69,Two years,Bank Transfer,10,No
7,49.69,Two years,Bank Transfer,0,No
22,134.88,Two years,Direct Debit,10,Yes
21,53.41,Monthly,Direct Debit,1,No
40,120.59,One year,Electronic Check,0,No
72,116.09,Monthly,Credit Card,3,No
25,25.2,One year,Direct Debit,2,No
2,32.35,Two years,Electronic Check,9,No
20,108.79,Monthly,Credit Card,8,Yes
5,133.93,One year,Direct Debit,8,No
17,92.61,Two years,Electronic Check,0,No
26,85.45,Monthly,Electronic Check,0,No
3,46.65,Two years,Electronic Check,8,Yes
32,31.12,Two years,Credit Card,8,Yes
47,81.28,One year,Direct Debit,1,Yes
45,64.68,Two years,Bank Transfer,2,No
45,56.99,Two years,Bank Transfer,5,No
45,108.38,Monthly,Direct Debit,0,No
39,38.07,Two years,Bank Transfer,4,Yes
5,97.47,Monthly,Direct Debit,10,No
28,66.82,Two years,Credit Card,1,Yes
70,103.0,One year,Bank Transfer,3,No
29,106.08,One year,Credit Card,3,No
31,20.81,One year,Electronic Check,4,No
56,110.76,One year,Credit Card,10,No
54,48.9,Monthly,Electronic Check,4,No
54,121.01,Monthly,Credit Card,9,Yes
65,149.68,Monthly,Credit Card,1,No
53,38.25,Monthly,Credit Card,10,Yes
71,32.68,Monthly,Credit Card,9,No
20,93.02,One year,Direct Debit,7,No
13,45.03,One year,Credit Card,1,No
38,123.14,Monthly,Direct Debit,8,Yes
63,100.43,Monthly,Direct Debit,7,No
50,117.32,Monthly,Direct Debit,5,No
65,30.93,Monthly,Bank Transfer,5,No
64,135.35,One year,Direct Debit,5,Yes
15,116.54,One year,Direct Debit,4,No
31,54.78,Two years,Credit Card,10,No
60,111.18,Monthly,Credit Card,3,No
6,144.03,Two years,Credit Card,0,Yes
53,55.82,One year,Credit Card,8,No
32,27.26,One year,Direct Debit,5,Yes
48,47.24,One year,Electronic Check,8,No
41,93.38,Two years,Credit Card,7,No
16,47.11,Two years,Bank Transfer,4,No
11,24.03,Monthly,Direct Debit,10,No
33,142.4,Monthly,Electronic Check,0,No
26,84.57,One year,Electronic Check,9,No
3,99.36,Two years,Credit Card,0,No
65,26.5,Monthly,Direct Debit,1,Yes
40,51.58,Monthly,Direct Debit,4,No
23,114.08,Monthly,Direct Debit,5,No
55,58.25,Two years,Credit Card,1,No
10,34.13,Monthly,Electronic Check,3,No
67,120.54,Monthly,Bank Transfer,0,No
39,65.37,Monthly,Electronic Check,10,No
47,118.77,Monthly,Bank Transfer,10,No
2,62.89,One year,Electronic Check,3,No
31,126.62,One year,Electronic Check,7,Yes
19,98.51,One year,Direct Debit,5,No
3,146.85,Two years,Credit Card,2,Yes
68,75.99,Two years,Bank Transfer,1,Yes
25,72.87,Two years,Credit Card,0,No
3,33.67,Two years,Credit Card,8,Yes
24,113.54,Two years,Electronic Check,1,No
11,22.98,Monthly,Direct Debit,7,No
41,135.93,Two years,Direct Debit,10,No
51,98.03,Two years,Electronic Check,9,Yes
63,43.45,Two years,Bank Transfer,9,No
54,111.34,Monthly,Credit Card,7,Yes
68,74.37,Monthly,Credit Card,3,Yes
61,142.81,One year,Electronic Check,6,No
42,124.82,One year,Electronic Check,3,No
23,32.75,One year,Credit Card,4,Yes
59,126.71,Monthly,Credit Card,0,No
4,141.67,Two years,Bank Transfer,2,No
15,77.38,Monthly,Electronic Check,0,No
21,139.56,One year,Electronic Check,5,No
3,141.21,Monthly,Credit Card,9,Yes
50,116.47,One year,Direct Debit,0,Yes
10,119.92,Two years,Credit Card,8,No
29,104.47,Two years,Electronic Check,1,No
69,120.08,One year,Electronic Check,5,No
21,68.64,Two years,Electronic Check,9,No
13,76.44,Two years,Electronic Check,1,No
48,109.35,Two years,Electronic Check,4,No
38,34.69,Two years,Bank Transfer,10,No
50,92.98,Two years,Direct Debit,3,Yes
40,130.84,Two years,Credit Card,1,No
37,24.08,One year,Direct Debit,8,Yes
23,139.24,Monthly,Electronic Check,0,Yes
1,132.18,Two years,Credit Card,3,No
67,95.38,Two years,Bank Transfer,7,Yes
64,69.68,One year,Credit Card,10,No
62,40.57,Monthly,Credit Card,0,No
35,123.15,Two years,Credit Card,10,No
43,119.17,Two years,Bank Transfer,2,Yes
33,125.47,Monthly,Electronic Check,8,No
40,58.17,One year,Electronic Check,5,No
72,28.86,Monthly,Direct Debit,3,No
47,137.2,Monthly,Direct Debit,4,No
70,48.01,One year,Electronic Check,7,No
50,88.91,One year,Electronic Check,9,No
51,107.3,One year,Electronic Check,4,Yes
40,149.09,Two years,Bank Transfer,7,No
72,103.47,Two years,Direct Debit,3,No
22,93.94,One year,Direct Debit,6,Yes
47,144.41,Monthly,Credit Card,10,No
68,69.89,One year,Bank Transfer,2,Yes
24,105.1,Monthly,Direct Debit,3,Yes
37,67.48,Monthly,Bank Transfer,3,Yes
29,37.42,One year,Electronic Check,10,No
29,52.79,One year,Direct Debit,6,Yes
20,29.98,One year,Electronic Check,0,No
8,145.22,One year,Bank Transfer,0,Yes
26,63.49,Monthly,Electronic Check,9,No
9,145.39,Monthly,Direct Debit,5,No
6,114.89,One year,Credit Card,5,Yes
23,144.3,Monthly,Electronic Check,8,Yes
27,71.97,Monthly,Electronic Check,4,No
25,97.5,Two years,Bank Transfer,10,No
3,68.78,Two years,Direct Debit,9,Yes
38,141.09,Two years,Credit Card,2,No
53,143.9,Monthly,Bank Transfer,0,No
53,111.65,Two years,Credit Card,7,No
19,40.11,Two years,Credit Card,5,No
67,99.47,Two years,Direct Debit,7,No
28,78.45,One year,Electronic Check,10,Yes
33,112.7,Monthly,Credit Card,1,No
24,60.35,Monthly,Electronic Check,0,No
15,73.62,Monthly,Electronic Check,6,No
